page,column,type,text,bbox,fingerprint
1,1,text_line,1-800-522-6543,"{""x1"": 292.55999755859375, ""y1"": 1125.5745849609375, ""x2"": 388.5005187988281, ""y2"": 1139.0589599609375}",1-362828401571
1,1,text_line,BEFORE YOU DIG,"{""x1"": 291.8399963378906, ""y1"": 1039.23876953125, ""x2"": 389.24163818359375, ""y2"": 1050.4757080078125}",1-515070014743
1,1,text_line,TWO WORKING DAYS,"{""x1"": 282.1199951171875, ""y1"": 1027.23876953125, ""x2"": 401.35504150390625, ""y2"": 1038.4757080078125}",1-614774791222
1,1,text_line,CALL OKIE,"{""x1"": 308.3999938964844, ""y1"": 1015.1189575195312, ""x2"": 368.95513916015625, ""y2"": 1026.355712890625}",1-914568434564
1,1,text_line,N.T.S.,"{""x1"": 315.8399963378906, ""y1"": 916.5819091796875, ""x2"": 354.3197021484375, ""y2"": 930.1597900390625}",1-531019648587
1,4,text_line,Note: These drawings and related design,"{""x1"": 2130.9599609375, ""y1"": 1180.07275390625, ""x2"": 2350.9931640625, ""y2"": 1192.1419677734375}",1-432284174635
1,4,text_line,calculations were performed solely for the,"{""x1"": 2131.43994140625, ""y1"": 1194.5927734375, ""x2"": 2354.12890625, ""y2"": 1206.6619873046875}",1-101515914724
1,4,text_line,construction of the ODOT District 2 Bryan,"{""x1"": 2131.43994140625, ""y1"": 1209.11279296875, ""x2"": 2353.45361328125, ""y2"": 1221.1820068359375}",1-688269069361
1,4,text_line,"County Maintenance Facility in Durant,","{""x1"": 2131.320068359375, ""y1"": 1223.6328125, ""x2"": 2338.58447265625, ""y2"": 1235.7020263671875}",1-22650672148
1,4,text_line,Oklahoma.,"{""x1"": 2131.320068359375, ""y1"": 1238.2728271484375, ""x2"": 2189.67431640625, ""y2"": 1250.342041015625}",1-878411814865
1,4,text_line,The layout and design shown is not intended,"{""x1"": 2131.679931640625, ""y1"": 1259.872802734375, ""x2"": 2370.516845703125, ""y2"": 1271.9420166015625}",1-283440422148
1,4,text_line,to be utilized at any other site without site,"{""x1"": 2131.679931640625, ""y1"": 1274.2728271484375, ""x2"": 2352.389892578125, ""y2"": 1286.342041015625}",1-412472472534
1,4,text_line,adaptation by the Engineer and Architectural,"{""x1"": 2131.43994140625, ""y1"": 1288.6728515625, ""x2"": 2369.6005859375, ""y2"": 1300.7420654296875}",1-119887528545
1,4,text_line,firm responsible for its original design.,"{""x1"": 2131.800048828125, ""y1"": 1303.19287109375, ""x2"": 2334.357177734375, ""y2"": 1315.2620849609375}",1-605761213780
1,4,text_line,SHEET INDEX,"{""x1"": 1987.919921875, ""y1"": 67.01905822753906, ""x2"": 2132.78076171875, ""y2"": 88.74373626708984}",1-137871804908
1,2,text_line,PROJECT,"{""x1"": 1474.3199462890625, ""y1"": 1264.7880859375, ""x2"": 1569.3248291015625, ""y2"": 1284.9034423828125}",1-977618433394
1,2,text_line,SITE,"{""x1"": 1475.0399169921875, ""y1"": 1289.028076171875, ""x2"": 1519.7564697265625, ""y2"": 1309.1434326171875}",1-940184235961
1,1,text_line,ALL CONSTRUCTION SHALL BE IN ACCORDANCE WITH THE OKLAHOMA,"{""x1"": 95.04000091552734, ""y1"": 1426.7928466796875, ""x2"": 516.1843872070312, ""y2"": 1438.862060546875}",1-677258180435
